symbol,ThaiCompanyName,EngCompanyName,logo
SET:2S,บริษัท 2 เอส เมทัล จำกัด (มหาชน),2S METAL PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/2s-metal-public-company-limited-non-voting.svg
SET:24CS,บริษัท ทเวนตี้ โฟร์ คอน แอนด์ ซัพพลาย จำกัด (มหาชน),TWENTY FOUR CON & SUPPLY PCL,https://s3-symbol-logo.tradingview.com/twenty-four-con-and-supply-pcl-non-voting.svg
SET:A,บริษัท อารียา พรอพเพอร์ตี้ จำกัด (มหาชน),AREEYA PROPERTY PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/areeya-property-public-co-ltd-non-voting.svg
SET:A5,บริษัท แอสเซท ไฟว์ กรุ๊ป จำกัด (มหาชน),ASSET FIVE GROUP PCL,https://s3-symbol-logo.tradingview.com/asset-five-pcl-non-voting.svg
SET:AAI,บริษัท เอเชี่ยน อะไลอันซ์ อินเตอร์เนชั่นแนล จำกัด (มหาชน),ASIAN ALLIANCE INTERNATIONAL PCL,https://s3-symbol-logo.tradingview.com/asian-alliance-international-pcl-non-voting.svg
SET:AAV,บริษัท เอเชีย เอวิเอชั่น จำกัด (มหาชน),ASIA AVIATION PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/asia-aviation-public-company-limited.svg
SET:ABM,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),ASIA BIOMASS PCL,https://s3-symbol-logo.tradingview.com/asia-biomass.svg
SET:ACC,บริษัท แอดวานซ์ คอนเนคชั่น คอร์ปอเรชั่น จำกัด (มหาชน),ADVANCED CONNECTION CORP PCL,https://s3-symbol-logo.tradingview.com/advanced-connection-corporation.svg
SET:ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),ABSOLUTE CLEAN ENERGY PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/absolute-clean-energy.svg
SET:ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),AUTOCORP HOLDING PCL,https://s3-symbol-logo.tradingview.com/autocorp-pcl-non-voting.svg
SET:ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),APPLIED DB PCL,https://s3-symbol-logo.tradingview.com/applied-db-pcl-non-voting.svg
SET:ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),ADDTECH HUB PCL,https://s3-symbol-logo.tradingview.com/addtech-hub-pcl-non-voting.svg
SET:ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),ADVANCED INFO SERVICE PUBLIC CO,https://s3-symbol-logo.tradingview.com/advanced-info-service-public-company.svg
SET:ADVICE,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),ADVICE IT INFINITE PUBLIC COMPANY L,https://s3-symbol-logo.tradingview.com/advice-it-infinite-public-company-l-non-voting.svg
SET:AE,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),ALL ENERGY & UTILITIES PUBLIC CO,https://s3-symbol-logo.tradingview.com/seven-utilities-and-power-public-company.svg
SET:AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),AEON THANA SINSA(THAILAND),https://s3-symbol-logo.tradingview.com/aeon-thana-sinsap-thailand.svg
SET:AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),AIRA FACTORING PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/aira-capital-pcl-non-voting.svg
SET:AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),ASIA FIBER CO,https://s3-symbol-logo.tradingview.com/asia-fiber-co-non-voting.svg
SET:AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),ASIA GREEN ENERGY PCL,https://s3-symbol-logo.tradingview.com/asia-green-energy-public-company-limited.svg
SET:AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),AAPICO HITECH PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/aapico-hitech.svg
SET:AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),AIKCHOL HOSPITAL PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/aikchol-hospital-public-company-ltd-non-voting.svg
SET:AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),ASIAN INSULATORS PUBLIC CO LTD,https://s3-symbol-logo.tradingview.com/asian-insulators-public-co-ltd-non-voting.svg
SET:AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),AI ENERGY PUBLIC COMPANY LIMITED,https://s3-symbol-logo.tradingview.com/ai-energy.svg
SET:AIRA,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),AIRA CAPITAL PCL,https://s3-symbol-logo.tradingview.com/aira-capital-pcl-non-voting.svg
SET:AIT,บริษัท แอ็ดวานซ์ อินฟอร์เมชั่น เทคโนโลยี จำกัด (มหาชน),ADVANCED INFORMATION TECHNOLOGY PCL,https://s3-symbol-logo.tradingview.com/advanced-information-technology-pcl-non-voting.svg
SET:AJ,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),A.J. PLAST PCL,https://s3-symbol-logo.tradingview.com/aj-plast-pcl-non-voting.svg
SET:AJA,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),AJ ADVANCE TECHNOLOGY PUBLIC CO,https://s3-symbol-logo.tradingview.com/aj-advance-technology.svg
SET:AKP,บริษัท อัคคีปราการ จำกัด (มหาชน),AKKHIE PRAKARN PUBLIC COMPANY LTD,https://s3-symbol-logo.tradingview.com/akkhie-prakarn-public-company-limited.svg
SET:AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),EKARAT ENGINEERING,https://s3-symbol-logo.tradingview.com/ekarat-engineering.svg
SET:AKS,บริษัท เอเคเอส คอร์ปอเรชั่น จำกัด (มหาชน),AKS CORPORATION PCL,https://s3-symbol-logo.tradingview.com/aks-pcl-non-voting.svg
SET:ALLA,บริษัท ออลล่า จำกัด (มหาชน),ALLA PCL,https://s3-symbol-logo.tradingview.com/alla-pcl-non-voting.svg
SET:ALPHAX,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),ALPHA DIVISIONS PCL,https://s3-symbol-logo.tradingview.com/ocean-commerce.svg
SET:ALT,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),ALT TELECOM PCL,https://s3-symbol-logo.tradingview.com/alt-telecom-pcl-non-voting.svg
SET:ALUCON,บริษัท อลูคอน จำกัด (มหาชน),ALUCON PUBLIC CO,https://s3-symbol-logo.tradingview.com/alucon-public-co-non-voting.svg
SET:AMA,บริษัท อาม่า มารีน จำกัด (มหาชน),AMA MARINE PCL,https://s3-symbol-logo.tradingview.com/ama-marine-pcl-non-voting.svg
SET:AMANAH,บริษัท อะมานะฮ์ ลิสซิ่ง จำกัด (มหาชน),AMANAH LEASING PCL,https://s3-symbol-logo.tradingview.com/amanah-leasing-public-company-limited.svg
SET:AMARC,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),ASIA MEDICAL AND AGRICULTURAL LABOR,https://s3-symbol-logo.tradingview.com/asia-medical-and-agricultural-labor-non-voting.svg
SET:AMARIN,บริษัท อมรินทร์ คอร์เปอเรชั่นส์ จำกัด (มหาชน),AMARIN CORPORATIONS PCL,https://s3-symbol-logo.tradingview.com/amarin-corporations-pcl-non-voting.svg
